"assembly_id","assembly_name","component","layer_order","layer_name","material_id","thickness_mm","thermal_conductivity_W_mK","layer_r_value_m2K_W","calculation_classification","source_reference","notes"
"ASM-LADAKH-TRAD","Ladakh Traditional Passive Shelter","Wall","1","Exterior Surface Resistance","MAT-V2-AIR-CAVITY","0.0","0.0","0.040","DIRECTLY SOURCED","ISO 6946:2017 Table 1","Rse for external wall surface."
"ASM-LADAKH-TRAD","Ladakh Traditional Passive Shelter","Wall","2","Stone Masonry Outer Layer","MAT-V2-STONE","200.0","2.50","0.080","CALCULATED","ASHRAE 2025 Ch 26","R = 0.20 / 2.50 = 0.080 m?K/W."
"ASM-LADAKH-TRAD","Ladakh Traditional Passive Shelter","Wall","3","Adobe Brick Structural Mass","MAT-V2-ADOBE","250.0","0.70","0.357","CALCULATED","ASHRAE 2025 Ch 26","R = 0.25 / 0.70 = 0.357 m?K/W."
"ASM-LADAKH-TRAD","Ladakh Traditional Passive Shelter","Wall","4","Mud Plaster Finish","MAT-V2-ADOBE","15.0","0.70","0.0214285714285714","CALCULATED","ASHRAE 2025 Ch 26","R = 0.015 / 0.70 = 0.0214285714285714 m?K/W."
"ASM-LADAKH-TRAD","Ladakh Traditional Passive Shelter","Wall","5","Interior Surface Resistance","MAT-V2-AIR-CAVITY","0.0","0.0","0.130","DIRECTLY SOURCED","ISO 6946:2017 Table 1","Rsi for horizontal heat flow internal wall."
"ASM-LADAKH-IMP-TRAD","Ladakh Improved Traditional Shelter","Wall","1","Exterior Surface Resistance","MAT-V2-AIR-CAVITY","0.0","0.0","0.040","DIRECTLY SOURCED","ISO 6946:2017 Table 1","Rse for external wall surface."
"ASM-LADAKH-IMP-TRAD","Ladakh Improved Traditional Shelter","Wall","2","Protective Mud Plaster Render","MAT-V2-ADOBE","20.0","0.70","0.0285714285714286","CALCULATED","ASHRAE 2025 Ch 26","R = 0.020 / 0.70 = 0.0285714285714286 m?K/W."
"ASM-LADAKH-IMP-TRAD","Ladakh Improved Traditional Shelter","Wall","3","Rockwool Exterior Insulation Batt","MAT-V2-ROCKWOOL","80.0","0.040","2.000","CALCULATED","Rockwool DS / ISO 6946","R = 0.080 / 0.040 = 2.000 m?K/W."
"ASM-LADAKH-IMP-TRAD","Ladakh Improved Traditional Shelter","Wall","4","Rammed Earth Mass Wall","MAT-V2-RAMMED","300.0","1.50","0.200","CALCULATED","ASHRAE 2025 Ch 26","R = 0.300 / 1.50 = 0.200 m?K/W."
"ASM-LADAKH-IMP-TRAD","Ladakh Improved Traditional Shelter","Wall","5","Interior Surface Resistance","MAT-V2-AIR-CAVITY","0.0","0.0","0.130","DIRECTLY SOURCED","ISO 6946:2017 Table 1","Rsi for horizontal heat flow internal wall."
