material_id,material,material_category,thermal_conductivity_W_mK,density_kg_m3,specific_heat_J_kgK,thermal_emissivity,solar_absorptivity,solar_reflectivity,default_thickness_mm,thermal_resistance_m2K_W,source,source_url,source_condition,confidence,notes
MAT-ADOBE,Adobe/Mud brick,Earthen construction,0.7,1800,920,0.9,0.75,0.25,250,0.357,"ASHRAE Handbook 2025 - Chapter 26","https://handbook.ashrae.org/Handbooks/F25/SI/F25_Ch26/F25_Ch26_si.aspx","Typical adobe at 5% moisture content","High","Value for typical adobe brick; range 0.5-1.0 W/mK depending on soil composition and moisture"
MAT-RAMMED,Rammed earth,Earthen construction,1.5,2000,920,0.9,0.7,0.3,300,0.2,"ASHRAE Handbook 2025 - Chapter 26","https://handbook.ashrae.org/Handbooks/F25/SI/F25_Ch26/F25_Ch26_si.aspx","Stabilized rammed earth (5% cement)","High","Thermal resistance calculated as thickness/conductivity = 0.3m/1.5 W/mK = 0.2 m²K/W"
MAT-STONE,Stone masonry (granite),Masonry,2.5,2700,790,0.9,0.6,0.4,350,0.14,"ASHRAE Handbook 2025 - Chapter 26","https://handbook.ashrae.org/Handbooks/F25/SI/F25_Ch26/F25_Ch26_si.aspx","Dry granite","High","Thermal resistance calculated as thickness/conductivity = 0.35m/2.5 W/mK = 0.14 m²K/W"
MAT-BRICK,Brick masonry (clay brick),Masonry,0.7,1800,840,0.9,0.6,0.4,230,0.329,"ASHRAE Handbook 2025 - Chapter 26","https://handbook.ashrae.org/Handbooks/F25/SI/F25_Ch26/F25_Ch26_si.aspx","Common clay brick","Medium","Thermal resistance calculated as thickness/conductivity = 0.23m/0.7 W/mK = 0.329 m²K/W"
MAT-CONCRETE,Concrete (normal weight),Masonry,1.7,2300,880,0.9,0.6,0.4,200,0.118,"ASHRAE Handbook 2025 - Chapter 26","https://handbook.ashrae.org/Handbooks/F25/SI/F25_Ch26/F25_Ch26_si.aspx","Normal weight concrete","High","Thermal resistance calculated as thickness/conductivity = 0.2m/1.7 W/mK = 0.118 m²K/W"
MAT-TIMBER,Timber/Pine (softwood),Wood,0.12,450,1200,0.9,0.5,0.5,100,0.833,"ASHRAE Handbook 2025 - Chapter 26","https://handbook.ashrae.org/Handbooks/F25/SI/F25_Ch26/F25_Ch26_si.aspx","Pine at 12% moisture content","High","Thermal resistance calculated as thickness/conductivity = 0.1m/0.12 W/mK = 0.833 m²K/W"
MAT-BAMBOO,Bamboo (treated),Wood,0.15,600,1200,0.9,0.6,0.4,75,0.5,"NIST Database","https://www.nist.gov/programs-projects/building-materials","Treated bamboo culms","Medium","Thermal resistance calculated as thickness/conductivity = 0.075m/0.15 W/mK = 0.5 m²K/W; values vary by species and treatment"
MAT-THATCH,Thatch (dry straw),Organic,0.05,300,1800,0.9,0.7,0.3,150,3.0,"ASHRAE Handbook 2025 - Chapter 26","https://handbook.ashrae.org/Handbooks/F25/SI/F25_Ch26/F25_Ch26_si.aspx","Dry thatch roofing","High","Thermal resistance calculated as thickness/conductivity = 0.15m/0.05 W/mK = 3.0 m²K/W"
MAT-METAL,Corrugated metal (steel),Metal,50,7850,500,0.9,0.8,0.2,0.7,0.000014,"ASHRAE Handbook 2025 - Chapter 26","https://handbook.ashrae.org/Handbooks/F25/SI/F25_Ch26/F25_Ch26_si.aspx","Galvanized steel sheet","High","Thermal resistance calculated as thickness/conductivity = 0.0007m/50 W/mK = 0.000014 m²K/W (negligible insulation value)"
MAT-ROCKWOOL,Mineral wool/Rock wool,Insulation,0.04,180,840,0.9,0.3,0.7,50,1.25,"Manufacturer Technical Datasheet (Rockwool)","https://www.rockwool.com/technical-insulation/","Standard rock wool batts","High","Thermal resistance calculated as thickness/conductivity = 0.05m/0.04 W/mK = 1.25 m²K/W"
MAT-EPS,EPS insulation (expanded polystyrene),Insulation,0.035,20,1200,0.9,0.2,0.8,50,1.429,"Manufacturer Technical Datasheet (EPS Industry Alliance)","https://www.epsindustry.org/","Expanded polystyrene Type I","High","Thermal resistance calculated as thickness/conductivity = 0.05m/0.035 W/mK = 1.429 m²K/W"
MAT-XPS,XPS insulation (extruded polystyrene),Insulation,0.033,35,1450,0.9,0.2,0.8,50,1.515,"Manufacturer Technical Datasheet (Dow Chemical)","https://www.dow.com/en-us/product/xps-insulation.html","Extruded polystyrene Type X","High","Thermal resistance calculated as thickness/conductivity = 0.05m/0.033 W/mK = 1.515 m²K/W"
