requirement_id,category,title,description,target_location_id,applicability,threshold_logic,source_id,evidence_status
REQ-LADAKH-001,Orientation,East-West Long Axis Solar Orientation,Long axis of residential and public shelters must be oriented East-West to maximize South-facing solar exposure and radiation absorption.,LOC-IN-LEH,Mandatory,"orientation_deg in [75, 105] or [255, 285] for long axis perpendicular to North",SRC-LADAKH-REGS-2023,VALUE_VERIFIED
REQ-LADAKH-002,Openings,Mandatory Double Glazing,All shelters in extreme cold climate must install double-glazed window units with uPVC or wooden thermal break frames.,LOC-IN-LEH,Mandatory,window_u_value <= 2.80 W/m2K,SRC-LADAKH-REGS-2023,VALUE_VERIFIED
REQ-LADAKH-003,Materials,Local Eco-Friendly Walling Material Share,"Minimum 50% of building wall structural mass should incorporate local eco-friendly options (CSEB, rammed earth, adobe, or local stone).",LOC-IN-LEH,Highly Recommended,local_eco_material_fraction >= 0.50,SRC-LADAKH-REGS-2023,VALUE_VERIFIED
REQ-LADAKH-004,Passive Solar,South-Facing Glazing & Trombe Wall / Rabsal Integration,South elevation should feature enhanced glazing ratio or passive solar rabsal (sun-room) / Trombe wall heat collector (200-350mm masonry).,LOC-IN-LEH,Recommended,south_window_wall_ratio >= 0.30 or has_trombe_wall == True,SRC-LADAKH-REGS-2023,VALUE_VERIFIED
REQ-LADAKH-005,Envelope,North Wall Infiltration Protection,North-facing exterior wall openings must be minimized (<10% WWR) or protected with secondary non-conditioned utility buffer zones.,LOC-IN-LEH,Mandatory,north_window_wall_ratio <= 0.10,SRC-LADAKH-REGS-2023,VALUE_VERIFIED
REQ-LADAKH-006,Roof,Roof Thermal Insulation Mandate,Roof assemblies must incorporate continuous thermal insulation with minimum thermal resistance R >= 2.50 m2K/W (U <= 0.40 W/m2K).,LOC-IN-LEH,Mandatory,roof_r_value >= 2.50,SRC-LADAKH-REGS-2023,VALUE_VERIFIED
REQ-LADAKH-007,Floor,Ground & Perimeter Slab Frost Insulation,Ground floor slabs must incorporate perimeter edge insulation (minimum 50mm XPS) or sub-slab insulation to prevent sub-zero frost bridging.,LOC-IN-LEH,Recommended,floor_r_value >= 1.50 or has_perimeter_xps == True,SRC-LADAKH-REGS-2023,VALUE_VERIFIED
REQ-LADAKH-008,Infiltration,Envelope Air Infiltration Weather-Sealing,"Envelope joints, window perimeters, and door frames must be weather-stripped to restrict uncontrolled cold infiltration (ACH <= 0.5 h-1).",LOC-IN-LEH,Mandatory,ach <= 0.50,SRC-NBC-INDIA-2016,VALUE_VERIFIED
REQ-LADAKH-009,Structure,Seismic Timber Lacing / Ring Beam Reinforcement,Structural timber lacing or reinforced concrete ring beams must be integrated into masonry walls for Zone IV/V seismic safety and snow loads.,LOC-IN-LEH,Mandatory,has_ring_beam == True or has_timber_lacing == True,SRC-LADAKH-REGS-2023,VALUE_VERIFIED
REQ-LADAKH-010,Renewable,Geothermal & Active Solar FAR Incentives,Additional Floor Area Ratio (FAR) incentives are provided for shelters integrating verified geothermal or active solar heating systems.,LOC-IN-LEH,Incentive,has_solar_active == True or has_geothermal == True,SRC-LADAKH-REGS-2023,VALUE_VERIFIED
