property_record_id,material_id,thermal_conductivity_W_mK,density_kg_m3,specific_heat_J_kgK,thermal_emissivity,solar_absorptivity,solar_reflectivity,vapor_permeability_kg_m_s_Pa,water_absorption_pct,thermal_expansion_coeff_1_K,default_thickness_mm,source_id,confidence,evidence_status,measurement_condition,density_min_kg_m3,density_max_kg_m3,moisture_bound_max_pct
PROP-MAT-ADOBE,MAT-ADOBE,0.7,1800.0,920.0,0.9,0.75,0.25,1.5e-11,NOT_AVAILABLE,5.0e-6,250.0,SRC-ASHRAE-2025-CH26,High,VALUE_VERIFIED,5% moisture content at 24C steady state,1600.0,2000.0,12.0
PROP-MAT-RAMMED,MAT-RAMMED,1.5,2000.0,920.0,0.9,0.7,0.3,8.0e-12,NOT_AVAILABLE,6.0e-6,300.0,SRC-ASHRAE-2025-CH26,High,VALUE_VERIFIED,Stabilized 5% cement at 5% moisture content,1800.0,2200.0,10.0
PROP-MAT-STONE,MAT-STONE,2.5,2600.0,820.0,0.9,0.6,0.4,1.0e-12,NOT_AVAILABLE,8.0e-6,350.0,SRC-ASHRAE-2025-CH26,High,VALUE_VERIFIED,Dry granite stone masonry at 24C,2400.0,2800.0,2.0
PROP-MAT-CSEB,MAT-CSEB,0.95,1850.0,900.0,0.9,0.7,0.3,1.2e-11,NOT_AVAILABLE,5.5e-6,230.0,SRC-LADAKH-REGS-2023,High,VALUE_VERIFIED,5% cement stabilized block dry state,1750.0,1950.0,10.0
PROP-MAT-BRICK,MAT-BRICK,0.7,1800.0,840.0,0.9,0.6,0.4,2.5e-11,NOT_AVAILABLE,6.0e-6,230.0,SRC-ASHRAE-2025-CH26,High,VALUE_VERIFIED,Common dry clay brick at 24C,1700.0,1900.0,20.0
PROP-MAT-CONCRETE,MAT-CONCRETE,1.7,2300.0,880.0,0.9,0.6,0.4,5.0e-12,NOT_AVAILABLE,1.0e-5,200.0,SRC-ASHRAE-2025-CH26,High,VALUE_VERIFIED,Normal weight cured concrete at 24C,2200.0,2400.0,6.0
PROP-MAT-TIMBER,MAT-TIMBER,0.12,450.0,1200.0,0.9,0.5,0.5,1.5e-11,NOT_AVAILABLE,4.0e-6,100.0,SRC-ASHRAE-2025-CH26,High,VALUE_VERIFIED,Softwood pine at 12% moisture content,350.0,550.0,20.0
PROP-MAT-TIMBER-FRAME,MAT-TIMBER-FRAME,0.12,450.0,1200.0,0.9,0.5,0.5,1.5e-11,NOT_AVAILABLE,4.0e-6,100.0,SRC-ASHRAE-2025-CH26,High,VALUE_VERIFIED,Stud framing lumber at 12% MC,350.0,550.0,20.0
PROP-MAT-BAMBOO,MAT-BAMBOO,0.15,600.0,1200.0,0.9,0.6,0.4,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,75.0,SRC-NIST-PUB,Medium,VALUE_NOT_VERIFIED,Treated dry bamboo culms,500.0,800.0,18.0
PROP-MAT-THATCH,MAT-THATCH,0.05,300.0,1800.0,0.9,0.7,0.3,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,150.0,SRC-ASHRAE-2025-CH26,High,VALUE_VERIFIED,Dry compacted straw roofing,200.0,400.0,25.0
PROP-MAT-STEEL,MAT-STEEL,50.0,7850.0,500.0,0.9,0.8,0.2,0.0,0.0%,1.2e-5,0.5,SRC-IS-277-2018,High,VALUE_VERIFIED,Galvanized sheet 0.50mm TCT (IS 277),7800.0,7900.0,0.0
PROP-MAT-ROCKWOOL,MAT-ROCKWOOL,0.04,180.0,840.0,0.9,0.3,0.7,1.5e-10,<1.0%,1.0e-6,100.0,SRC-ROCKWOOL-DS,High,VALUE_VERIFIED,ASTM C518 at 24C mean temp,140.0,200.0,1.0
PROP-MAT-EPS,MAT-EPS,0.035,20.0,1200.0,0.9,0.2,0.8,2.0e-11,<2.0%,6.0e-5,50.0,SRC-EPS-ALLIANCE-DS,High,VALUE_VERIFIED,ASTM C578 Type I at 24C,15.0,25.0,2.0
PROP-MAT-XPS,MAT-XPS,0.033,35.0,1450.0,0.9,0.2,0.8,5.0e-12,<0.3%,7.0e-5,50.0,SRC-DOW-XPS-DS,High,VALUE_VERIFIED,ASTM C578 Type X aged R-value,30.0,45.0,0.5
PROP-MAT-AIR-CAVITY,MAT-AIR-CAVITY,0.238,1.225,1005.0,0.9,0.0,0.0,NOT_AVAILABLE,0.0%,NOT_AVAILABLE,50.0,SRC-ISO-6946-2017,High,VALUE_VERIFIED,50mm vertical unventilated cavity (ISO 6946 Table 3),NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE
PROP-MAT-GYPSUM,MAT-GYPSUM,0.21,800.0,1000.0,0.9,0.3,0.7,4.0e-11,NOT_AVAILABLE,1.5e-5,12.5,SRC-ASHRAE-2025-CH26,High,VALUE_VERIFIED,Dry gypsum board at 24C,700.0,900.0,5.0
