assembly_id,assembly_name,component_type,application_region,total_thickness_mm,total_r_value_m2K_W,effective_u_value_W_m2K,thermal_mass_strategy,insulation_strategy,source_id,status
ASM-WALL-LADAKH-TRAD,Ladakh Traditional Earthen Wall,WALL,Ladakh / Leh,465.0,0.6285,1.591,Heavy diurnal thermal mass (C_wall=34.6 MJ/K) buffers sub-zero night freeze.,Uninsulated single composite mass with exterior mud render.,SRC-LADAKH-REGS-2023,ACTIVE
ASM-WALL-LADAKH-IMP-TRAD,Ladakh Improved Insulated Rammed Earth Wall,WALL,Ladakh / Leh,400.0,2.3986,0.417,300mm interior rammed earth mass (C=23.0 MJ/K) coupled directly to living space.,80mm exterior Rockwool batt (R=2.0) behind protective mud render.,SRC-LADAKH-REGS-2023,ACTIVE
ASM-WALL-LADAKH-INS-MOD,Ladakh Insulated Modern CSEB Cavity Wall,WALL,Ladakh / Leh,392.5,3.1816,0.314,230mm CSEB inner structural block (C=17.6 MJ/K).,100mm Rockwool (R=2.5) + 50mm sealed air cavity + gypsum interior.,SRC-BIS-SP73-2023,ACTIVE
ASM-WALL-LADAKH-LIGHT-INS,Ladakh Lightweight Insulated Clad Wall,WALL,Ladakh / Leh,213.0,3.8865,0.257,Low internal mass (C=2.1 MJ/K); enables ultra-fast auxiliary heating response.,100mm XPS rigid foam (R=3.03) + 50mm cavity + 0.5mm steel cladding.,SRC-ISO-6946-2017,ACTIVE
ASM-WALL-SHIMLA-COLD,Shimla Cold-Mountain Masonry Cavity Wall,WALL,Shimla / Himachal,432.5,3.5395,0.282,250mm exterior granite stone cladding buffering mountain diurnal swings.,120mm hydrophobic Rockwool batt behind drained ventilated cavity.,SRC-NBC-INDIA-2016,ACTIVE
ASM-WALL-WARM-COMP,Conventional Double Brick Cavity Wall,WALL,Jaipur / Karur,292.5,0.7681,1.302,Double 115mm clay brick mass delaying afternoon heat penetration.,50mm air cavity buffer for thermal barrier.,SRC-NBC-INDIA-2016,ACTIVE
ASM-ROOF-LADAKH-TRAD,Ladakh Traditional Earthen Flat Roof,ROOF,Ladakh / Leh,300.0,4.0447,0.247,50mm dry mud cover over 150mm compacted straw thatch layer.,150mm thatch (R=3.00) over timber poplar joists.,SRC-LADAKH-REGS-2023,ACTIVE
ASM-ROOF-LADAKH-INS-MOD,Ladakh Modern Insulated Pitched Roof,ROOF,Ladakh / Leh,153.0,4.0026,0.25,Lightweight rapid snow-shedding profile.,0.5mm steel sheet + 120mm XPS rigid foam (R=3.64) + timber deck + gypsum.,SRC-LADAKH-REGS-2023,ACTIVE
ASM-ROOF-WARM-SLAB,Warm Climate Concrete Flat Roof,ROOF,Jaipur / Karur,162.5,0.2877,3.476,150mm reinforced concrete slab with high solar absorptivity.,Uninsulated slab (requires reflective lime wash or shading).,SRC-NBC-INDIA-2016,ACTIVE
ASM-FLOOR-LADAKH-INS-SLAB,Ladakh Insulated Frost-Protected Floor Slab,FLOOR,Ladakh / Leh,180.0,2.2537,0.444,100mm concrete slab floor inside thermal envelope.,60mm XPS closed-cell rigid foam (R=1.82) under slab breaking ground frost.,SRC-LADAKH-REGS-2023,ACTIVE
ASM-FLOOR-LADAKH-TRAD,Ladakh Traditional Earth/Stone Ground Floor,FLOOR,Ladakh / Leh,250.0,0.3923,2.549,Direct coupling to sub-grade soil/stone bed.,Uninsulated compacted soil + slate stone pavers.,SRC-LADAKH-REGS-2023,ACTIVE
ASM-FLOOR-WARM-TILED,Warm Climate Tiled Concrete Floor Slab,FLOOR,Jaipur / Karur,130.0,0.2883,3.469,Ground-coupled slab providing ground cooling sink.,Uninsulated to maximize summer ground heat sink dissipation.,SRC-NBC-INDIA-2016,ACTIVE
