case_id,split_group,location_id,location_name,climate_zone,latitude_deg,longitude_deg,elevation_m,occupant_count,ventilation_level,intended_use,floor_area_m2,length_m,width_m,height_m,aspect_ratio,roof_angle_deg,orientation_azimuth_deg,wall_assembly_id,roof_assembly_id,floor_assembly_id,wall_u_value_W_m2K,roof_u_value_W_m2K,floor_u_value_W_m2K,total_opening_area_m2,avg_indoor_temp_C,min_indoor_temp_C,max_indoor_temp_C,temperature_lift_C,diurnal_temperature_swing_C,total_solar_gain_kWh,total_conductive_heat_loss_kWh,total_ventilation_loss_kWh,is_fully_compliant,total_score,summary_verdict,feat_d_hdd_18C_scaled,feat_d_cdd_18C_scaled,feat_d_elevation_scaled,feat_d_design_temp_min_C,feat_d_design_temp_max_C,feat_d_design_solar_peak_scaled,feat_d_occupant_count,feat_d_floor_area_m2,feat_d_length_m,feat_d_width_m,feat_d_height_m,feat_d_aspect_ratio,feat_d_surface_to_volume_ratio,feat_d_roof_angle_deg,feat_d_orientation_azimuth_deg,feat_d_total_opening_area_m2,feat_d_north_wwr,feat_d_south_wwr,feat_d_wall_thickness_mm,feat_d_wall_u_value_W_m2K,feat_d_roof_thickness_mm,feat_d_roof_u_value_W_m2K,feat_d_floor_thickness_mm,feat_d_floor_u_value_W_m2K,feat_d_ventilation_ach,feat_d_ground_frost_depth_m,feat_d_ground_thermal_conductivity_W_mK,feat_d_snow_load_kN_m2
TC-LEH-0001,TRAIN,LOC-IN-LEH,Leh,Cold-Arid (High Altitude Alpine),34.1526,77.5771,3500.0,2,medium,emergency,14.98,4.5,3.33,2.8,1.35,30.0,0.0,ASM-WALL-LADAKH-TRAD,ASM-ROOF-LADAKH-TRAD,ASM-FLOOR-LADAKH-INS-SLAB,1.591,0.247,0.444,3.8,-0.956,-10.684,5.331,5.294,16.015,182.505,14.798,3.971,False,0.0,NON_COMPLIANT,0.97,0.01125,0.875,-17.2,27.9,0.9208333333333333,2.0,14.98,4.5,3.33,2.8,1.35,1.815,30.0,0.0,3.8,0.0,0.14285714285714288,465.0,1.591,300.0,0.247,180.0,0.444,1.0,1.2,1.8,1.5
TC-LEH-0002,TRAIN,LOC-IN-LEH,Leh,Cold-Arid (High Altitude Alpine),34.1526,77.5771,3500.0,4,high,work,14.98,4.5,3.33,2.8,1.35,30.0,0.0,ASM-WALL-LADAKH-TRAD,ASM-ROOF-LADAKH-INS-MOD,ASM-FLOOR-WARM-TILED,1.591,0.25,2.1,3.8,-3.45,-10.67,1.162,2.8,11.832,124.306,19.553,5.508,False,0.0,NON_COMPLIANT,0.97,0.01125,0.875,-17.2,27.9,0.9208333333333333,4.0,14.98,4.5,3.33,2.8,1.35,1.815,30.0,0.0,3.8,0.0,0.14285714285714288,465.0,1.591,153.0,0.25,150.0,2.1,2.0,1.2,1.8,1.5
TC-LEH-0003,TRAIN,LOC-IN-LEH,Leh,Cold-Arid (High Altitude Alpine),34.1526,77.5771,3500.0,8,low,residential,14.98,4.5,3.33,2.8,1.35,30.0,0.0,ASM-WALL-LADAKH-TRAD,ASM-ROOF-WARM-SLAB,ASM-FLOOR-LADAKH-TRAD,1.591,3.476,0.85,3.8,-1.762,-10.644,3.834,4.488,14.478,170.865,31.397,1.76,False,0.0,NON_COMPLIANT,0.97,0.01125,0.875,-17.2,27.9,0.9208333333333333,8.0,14.98,4.5,3.33,2.8,1.35,1.815,30.0,0.0,3.8,0.0,0.14285714285714288,465.0,1.591,162.5,3.476,250.0,0.85,0.5,1.2,1.8,1.5
TC-LEH-0004,TRAIN,LOC-IN-LEH,Leh,Cold-Arid (High Altitude Alpine),34.1526,77.5771,3500.0,1,medium,emergency,14.98,4.5,3.33,2.8,1.35,30.0,0.0,ASM-WALL-LADAKH-IMP-TRAD,ASM-ROOF-LADAKH-TRAD,ASM-FLOOR-LADAKH-INS-SLAB,0.452,0.247,0.444,3.8,0.313,-10.71,7.65,6.563,18.36,182.505,21.574,4.699,False,0.0,NON_COMPLIANT,0.97,0.01125,0.875,-17.2,27.9,0.9208333333333333,1.0,14.98,4.5,3.33,2.8,1.35,1.815,30.0,0.0,3.8,0.0,0.14285714285714288,345.0,0.452,300.0,0.247,180.0,0.444,1.0,1.2,1.8,1.5
TC-LEH-0005,TRAIN,LOC-IN-LEH,Leh,Cold-Arid (High Altitude Alpine),34.1526,77.5771,3500.0,2,high,work,14.98,4.5,3.33,2.8,1.35,30.0,0.0,ASM-WALL-LADAKH-IMP-TRAD,ASM-ROOF-LADAKH-INS-MOD,ASM-FLOOR-WARM-TILED,0.452,0.25,2.1,3.8,-2.744,-10.689,2.533,3.506,13.222,124.306,24.077,6.046,False,0.0,NON_COMPLIANT,0.97,0.01125,0.875,-17.2,27.9,0.9208333333333333,2.0,14.98,4.5,3.33,2.8,1.35,1.815,30.0,0.0,3.8,0.0,0.14285714285714288,345.0,0.452,153.0,0.25,150.0,2.1,2.0,1.2,1.8,1.5
TC-LEH-0006,TRAIN,LOC-IN-LEH,Leh,Cold-Arid (High Altitude Alpine),34.1526,77.5771,3500.0,4,low,residential,14.98,4.5,3.33,2.8,1.35,30.0,0.0,ASM-WALL-LADAKH-IMP-TRAD,ASM-ROOF-WARM-SLAB,ASM-FLOOR-LADAKH-TRAD,0.452,3.476,0.85,3.8,-1.142,-10.665,5.101,5.108,15.765,170.865,37.481,1.915,False,0.0,NON_COMPLIANT,0.97,0.01125,0.875,-17.2,27.9,0.9208333333333333,4.0,14.98,4.5,3.33,2.8,1.35,1.815,30.0,0.0,3.8,0.0,0.14285714285714288,345.0,0.452,162.5,3.476,250.0,0.85,0.5,1.2,1.8,1.5
TC-LEH-0007,TRAIN,LOC-IN-LEH,Leh,Cold-Arid (High Altitude Alpine),34.1526,77.5771,3500.0,8,medium,emergency,14.98,4.5,3.33,2.8,1.35,30.0,0.0,ASM-WALL-LADAKH-INS-MOD,ASM-ROOF-LADAKH-TRAD,ASM-FLOOR-LADAKH-INS-SLAB,0.314,0.247,0.444,3.8,0.237,-10.626,7.156,6.487,17.782,175.77,24.041,4.653,True,70.73,ACCEPTABLE,0.97,0.01125,0.875,-17.2,27.9,0.9208333333333333,8.0,14.98,4.5,3.33,2.8,1.35,1.815,30.0,0.0,3.8,0.0,0.14285714285714288,392.5,0.314,300.0,0.247,180.0,0.444,1.0,1.2,1.8,1.5
TC-LEH-0008,TRAIN,LOC-IN-LEH,Leh,Cold-Arid (High Altitude Alpine),34.1526,77.5771,3500.0,1,high,work,14.98,4.5,3.33,2.8,1.35,30.0,0.0,ASM-WALL-LADAKH-INS-MOD,ASM-ROOF-LADAKH-INS-MOD,ASM-FLOOR-WARM-TILED,0.314,0.25,2.1,3.8,-3.566,-10.716,1.145,2.684,11.861,117.571,22.984,5.382,True,56.9,SUB_OPTIMAL,0.97,0.01125,0.875,-17.2,27.9,0.9208333333333333,1.0,14.98,4.5,3.33,2.8,1.35,1.815,30.0,0.0,3.8,0.0,0.14285714285714288,392.5,0.314,153.0,0.25,150.0,2.1,2.0,1.2,1.8,1.5
TC-LEH-0009,TRAIN,LOC-IN-LEH,Leh,Cold-Arid (High Altitude Alpine),34.1526,77.5771,3500.0,2,low,residential,14.98,4.5,3.33,2.8,1.35,30.0,0.0,ASM-WALL-LADAKH-INS-MOD,ASM-ROOF-WARM-SLAB,ASM-FLOOR-LADAKH-TRAD,0.314,3.476,0.85,3.8,-2.127,-10.692,3.488,4.123,14.18,164.13,34.476,1.664,False,0.0,NON_COMPLIANT,0.97,0.01125,0.875,-17.2,27.9,0.9208333333333333,2.0,14.98,4.5,3.33,2.8,1.35,1.815,30.0,0.0,3.8,0.0,0.14285714285714288,392.5,0.314,162.5,3.476,250.0,0.85,0.5,1.2,1.8,1.5
TC-LEH-0010,TRAIN,LOC-IN-LEH,Leh,Cold-Arid (High Altitude Alpine),34.1526,77.5771,3500.0,4,medium,emergency,14.98,4.5,3.33,2.8,1.35,30.0,0.0,ASM-WALL-LADAKH-LIGHT-INS,ASM-ROOF-LADAKH-TRAD,ASM-FLOOR-LADAKH-INS-SLAB,0.284,0.247,0.444,3.8,4.469,-10.527,21.69,10.719,32.217,148.83,16.993,7.313,True,71.43,ACCEPTABLE,0.97,0.01125,0.875,-17.2,27.9,0.9208333333333333,4.0,14.98,4.5,3.33,2.8,1.35,1.815,30.0,0.0,3.8,0.0,0.14285714285714288,152.0,0.284,300.0,0.247,180.0,0.444,1.0,1.2,1.8,1.5
