material_id,supplier_name,product_name,price_per_unit,currency,price_unit,availability_status,product_url,image_url,source_id,confidence,retrieval_timestamp
MAT-ADOBE,Ladakh Earth Builders Cooperative,Traditional Sun-Dried Adobe Block,18.0,INR,unit,IN_STOCK,https://indiamart.com/ladakh-earth-builders/adobe-block,IMAGE_NOT_AVAILABLE,SRC-MARKET-IN-26,High,2026-08-28T12:00:00Z
MAT-ADOBE,Himalayan MudCraft Artisans,Hand-Molded Ladakhi Mud Brick,22.0,INR,unit,AVAILABLE_ON_ORDER,https://indiamart.com/himalayan-mudcraft/mud-bricks,IMAGE_NOT_AVAILABLE,SRC-MARKET-IN-26,Medium,2026-08-28T12:00:00Z
MAT-RAMMED,EcoEarth Systems North,Cement-Stabilized Rammed Earth Mix,2800.0,INR,m3,AVAILABLE,https://indiamart.com/ecoearth-systems/rammed-earth-mix,IMAGE_NOT_AVAILABLE,SRC-MARKET-IN-26,High,2026-08-28T12:00:00Z
MAT-RAMMED,Indus Soil Tech,Local Gravel-Sand Stabilized Earth,2400.0,INR,m3,IN_STOCK,PURCHASE_URL_NOT_AVAILABLE,IMAGE_NOT_AVAILABLE,SRC-MARKET-IN-26,Medium,2026-08-28T12:00:00Z
MAT-STONE,Leh Granite & Fieldstone Quarry,Split Himalayan Granite Masonry Block,4500.0,INR,m3,IN_STOCK,https://indiamart.com/leh-granite/stone-blocks,IMAGE_NOT_AVAILABLE,SRC-MARKET-IN-26,High,2026-08-28T12:00:00Z
MAT-STONE,Sindhu Valley Quarries,Rough-Dressed Foundation Stone,3800.0,INR,m3,AVAILABLE,PURCHASE_URL_NOT_AVAILABLE,IMAGE_NOT_AVAILABLE,SRC-MARKET-IN-26,Medium,2026-08-28T12:00:00Z
MAT-CSEB,EarthCraft India Building Yards,"Hydraulic Compressed Stabilized Earth Block (CSEB)",35.0,INR,unit,IN_STOCK,https://indiamart.com/earthcraft-india/cseb-blocks,IMAGE_NOT_AVAILABLE,SRC-MARKET-IN-26,High,2026-08-28T12:00:00Z
MAT-CSEB,Auroville Earth Institute Partner Network,Interlocking Auram Earth Block 295,42.0,INR,unit,AVAILABLE,https://earth-institute.org/auram-blocks,IMAGE_NOT_AVAILABLE,SRC-MARKET-IN-26,High,2026-08-28T12:00:00Z
MAT-BRICK,Jammu Brick Kilns Consortium,Class-1 Fired Red Clay Brick,9.5,INR,unit,IN_STOCK,https://indiamart.com/jammu-kilns/red-brick,IMAGE_NOT_AVAILABLE,SRC-MARKET-IN-26,High,2026-08-28T12:00:00Z
MAT-BRICK,Punjab Standard Brickworks,High-Strength Modular Clay Brick,11.0,INR,unit,AVAILABLE,https://indiamart.com/punjab-brickworks/modular-brick,IMAGE_NOT_AVAILABLE,SRC-MARKET-IN-26,High,2026-08-28T12:00:00Z
