material_id,material_name,category,form,availability_in_ladakh,sustainability_profile,local_sourcing_status,durability_notes,fire_classification,status
MAT-ADOBE,Adobe / Mud Brick,Earthen Construction,Solid sun-dried block,Abundant (100% locally produced),"Extremely low embodied carbon, fully circular and biodegradable",LOCAL_PRIMARY,High mass durability under dry shelter; vulnerable to unsealed liquid water erosion,Non-combustible Class A1,ACTIVE
MAT-RAMMED,Rammed Earth (Stabilized 5% Cement),Earthen Construction,Monolithic compacted wall,Abundant (local soil + minimal imported cement),"Low embodied energy, high thermal mass density",LOCAL_PRIMARY,Excellent structural durability when cement-stabilized; withstands severe freeze-thaw cycles,Non-combustible Class A1,ACTIVE
MAT-STONE,Stone Masonry (Granite / Fieldstone),Masonry,Quarried / field stone blocks,Abundant (quarried across Himalayan valley),"Zero processing embodied energy, exceptional longevity (>100 yrs)",LOCAL_PRIMARY,Exceptional structural longevity; frost-resistant foundation and cladding material,Non-combustible Class A1,ACTIVE
MAT-CSEB,Compressed Stabilized Earth Block (CSEB 5% Cement),Earthen Construction,Interlocking hydraulic compressed brick,Widely produced in local manual/hydraulic block yards,Low embodied energy alternative to fired clay brick,LOCAL_PRIMARY,High dimensional uniformity and freeze-thaw resistance,Non-combustible Class A1,ACTIVE
MAT-BRICK,Clay Brick Masonry (Common Fired),Masonry,Kiln-fired clay brick,Limited / Imported from Punjab/Jammu plains,Moderate-high embodied carbon due to coal kiln firing,IMPORTED,High weathering resistance; standard benchmark across India,Non-combustible Class A1,ACTIVE
MAT-CONCRETE,Concrete (Normal Weight Reinforced),Masonry,Cast-in-place / precast slab and frame,"Aggregate local, cement/rebar imported",High embodied carbon,HYBRID,High structural load capacity; severe thermal bridging risk if uninsulated,Non-combustible Class A1,ACTIVE
MAT-TIMBER,Timber / Pine & Poplar (Softwood),Wood,Sawn dimensional lumber & round logs,Poplar/willow local in river valleys; cedar/pine imported,Carbon sequestering renewable structural material,LOCAL_PRIMARY,High strength-to-weight ratio; requires treatment against dry rot and moisture,Combustible Class D,ACTIVE
MAT-TIMBER-FRAME,Timber Stud Framing Core (Pine 50x100mm),Structural Frame,Engineered framing studs,Imported framing timber,Low carbon framing system,IMPORTED,Forms structural cavity core; requires vapor barrier protection,Combustible Class D,ACTIVE
MAT-BAMBOO,Bamboo (Treated Culms),Wood,Round hollow culms,Not indigenous; imported from Northeast/South India,Rapidly renewable natural structural composite,IMPORTED,Lightweight structural material; requires boron treatment to resist borers,Combustible Class D,RESEARCH_CANDIDATE
MAT-THATCH,Thatch (Dry Compacted Straw),Organic,Compressed agricultural straw layer,Abundant from local barley/wheat harvests,Zero embodied energy agricultural byproduct,LOCAL_PRIMARY,Excellent local roof insulation; requires periodic re-thatching every 5-10 yrs,Highly Combustible Class B3 (requires mud render cover),ACTIVE
MAT-STEEL,Corrugated Steel Sheet (Galvanized 0.5mm TCT),Metal,Cold-rolled corrugated profiled cladding,Imported manufactured sheets (IS 277 standard),"High embodied energy, 100% recyclable",IMPORTED,Weatherproof exterior rainscreen cladding; negligible insulation value,Non-combustible Class A1,ACTIVE
MAT-ROCKWOOL,Mineral Wool / Rockwool Batt,Insulation,Semi-rigid hydrophobic fiber batt,Imported commercial insulation product,"Manufactured from basalt volcanic rock, recyclable",IMPORTED,"Outstanding fire barrier (Euroclass A1), water repellent, breathable",Non-combustible Class A1,ACTIVE
MAT-EPS,Expanded Polystyrene Insulation (EPS Type I),Insulation,Rigid foam closed-cell bead board,Imported rigid board,"Petrochemical derived, high insulation yield per kg",IMPORTED,Lightweight high R-value board; degraded by direct UV if unclad,Flame-retardant Class B1 (ASTM E84),ACTIVE
MAT-XPS,Extruded Polystyrene Insulation (XPS Type X),Insulation,High-density closed-cell rigid foam board,Imported rigid board,"Petrochemical derived, superior moisture barrier",IMPORTED,Closed-cell zero water absorption; ideal for sub-slab and perimeter ground frost,Flame-retardant Class B1 (ASTM E84),ACTIVE
MAT-AIR-CAVITY,Unventilated Air Cavity (50mm),Air Layer,Enclosed still air space in cavity wall,Constructed in situ,Zero embodied energy,LOCAL_PRIMARY,Provides R=0.210 m2K/W when sealed against air infiltration,Non-combustible air space,ACTIVE
MAT-GYPSUM,Gypsum Plasterboard (Interior Lining),Interior Finish,Drywall board 12.5mm,Imported interior wallboard,Recyclable gypsum core,IMPORTED,Smooth interior finish with passive fire resistance from chemically bound water,Fire-resistant Class A,ACTIVE
