source_id,source_type,source_name,publisher,publication_year,chapter_or_section,url,confidence_level,scope_notes
SRC-ASHRAE-2025-CH26,Primary Standard,ASHRAE Handbook 2025 - Fundamentals (SI) Chapter 26,"American Society of Heating, Refrigerating and Air-Conditioning Engineers",2025,"Chapter 26 - Heat, Air, and Moisture Control in Building Assemblies - Material Properties",https://handbook.ashrae.org/Handbooks/F25/SI/F25_Ch26/F25_Ch26_si.aspx,High,"Authoritative thermophysical reference for building material conductivity, density, specific heat, emissivity, and solar absorptivity."
SRC-ISO-6946-2017,Primary International Standard,ISO 6946:2017 Building components and building elements - Thermal resistance and thermal transmittance,International Organization for Standardization,2017,"ISO 6946:2017(E) Clause 5 & 6 (Calculation methods, surface films Rsi/Rse, unventilated air layers)",https://www.iso.org/standard/65708.html,High,"Calculation methodology for multi-layer envelope assemblies, boundary layer thermal resistances, and cavity R-values."
SRC-LADAKH-REGS-2023,Primary Statutory Regulation,Ladakh Standardized Development and Building Regulations 2023 / Draft Unified Bye-Laws,UT Administration of Ladakh / Bureau of Indian Standards (BIS),2023,"Section 4 (Passive Solar), Section 5 (Building Envelope), Section 6 (Eco-Materials), Section 7 (Seismic/Snow)",https://www.bis.gov.in/wp-content/uploads/2024/02/20240115-Ladakh-Final-Standardized-Development-and-Building-Regulations.pdf,High,"Official cold-climate high-altitude building code establishing E-W orientation, double glazing, CSEB/earthen mass, and roof insulation mandates."
SRC-NBC-INDIA-2016,Primary National Standard,National Building Code of India 2016,Bureau of Indian Standards (BIS),2016,Group 1 - Part 8 Building Services Section 1 Lighting and Natural Ventilation,https://www.bis.gov.in/standards/national-building-code/?lang=en,High,"National standards for envelope thermal performance, air infiltration weather-sealing, window-to-wall ratios, and cavity drainage."
SRC-BIS-SP73-2023,Primary Standard,BIS SP 73:2023 Handbook on Energy Conservation in Buildings,Bureau of Indian Standards,2023,Section 3 - Building Envelope in Cold and High-Altitude Climates,https://www.bis.gov.in/standards/,High,Design and material standards for Compressed Stabilized Earth Blocks (CSEB) and extreme cold insulation.
SRC-OPEN-METEO-ARCHIVE,Primary Weather API,Open-Meteo Historical Weather API & Reanalysis Dataset,Open-Meteo GmbH / ECMWF ERA5,2026,"Hourly archive endpoint: temperature_2m, relativehumidity_2m, shortwave_radiation, windspeed_10m, precipitation, pressure_msl",https://archive-api.open-meteo.com/v1/archive,High,Hourly empirical weather observations across Indian regional test coordinates for Jan-Aug 2026.
SRC-NIST-PUB,Secondary Reference Database,NIST Heat Transmission Properties of Insulating and Building Materials (SRD 81),National Institute of Standards and Technology (USA),1983,Standard Reference Database 81,https://srdata.nist.gov/insulation/home/index,Medium,Experimental thermal properties for organic and structural woods. Flagged: record-level external verification for bamboo ongoing.
SRC-ROCKWOOL-DS,Manufacturer Datasheet,Rockwool Technical Insulation Product Datasheet,Rockwool Group,2024,Building Thermal Batts - ASTM C518 & Euroclass A1,https://www.rockwool.com/technical-insulation/,High,"Manufacturer verified conductivity, density, and Euroclass A1 non-combustibility for mineral rock wool."
SRC-EPS-ALLIANCE-DS,Manufacturer Datasheet,Expanded Polystyrene Insulation Type I/II Product Specification,EPS Industry Alliance,2024,ASTM C578 Type I Specification,https://www.epsindustry.org/,High,Manufacturer technical properties for expanded polystyrene rigid board insulation.
SRC-DOW-XPS-DS,Manufacturer Datasheet,STYROFOAM XPS Rigid Foam Insulation Technical Datasheet,Dow Chemical Company,2024,ASTM C578 Type X aged R-value specification,https://www.dow.com/en-us/product/xps-insulation.html,High,Closed-cell extruded polystyrene moisture-resistant slab and perimeter insulation properties.
SRC-IS-277-2018,Primary National Standard,IS 277:2018 Galvanized Steel Sheets (Plain and Corrugated) Specification,Bureau of Indian Standards,2018,Clause 4 & Table 1 (0.50mm - 0.63mm TCT),https://www.bis.gov.in/standards/,High,Indian standard specification for corrugated galvanized steel sheet cladding dimensions and properties.
