material_id,material,material_category,thermal_conductivity_W_mK,density_kg_m3,specific_heat_J_kgK,thermal_emissivity,solar_absorptivity,solar_reflectivity,vapor_permeability,water_absorption,moisture_condition,thermal_expansion_coefficient,default_thickness_mm,recommended_thickness_range_mm,thermal_resistance_m2K_W,fire_related_property,durability_notes,temperature_condition,test_condition,source,source_type,source_url,source_reference,confidence,data_quality_notes
MAT-V2-ADOBE,Adobe / Mud brick,Earthen construction,0.7,1800.0,920,0.9,0.75,0.25,1.5e-11,NOT_AVAILABLE,Typical 5% moisture,5.0e-6,300.0,250-450,0.429,Non-combustible Class A1,High mass durability under dry shelter; vulnerable to unsealed liquid water erosion,24°C,ASTM C177 / Steady state 5% moisture,ASHRAE Handbook 2025 - Chapter 26,Primary,https://handbook.ashrae.org/Handbooks/F25/SI/F25_Ch26/F25_Ch26_si.aspx,Table 1 SI - Earthen Materials,High,Sourced from ASHRAE Handbook 2025 Chapter 26.
MAT-V2-RAMMED,Rammed earth (stabilized 5% cement),Earthen construction,1.5,2000.0,920,0.9,0.7,0.3,8.0e-12,NOT_AVAILABLE,Typical 5% moisture,6.0e-6,300.0,300-500,0.2,Non-combustible Class A1,Excellent structural durability when cement-stabilized; withstands severe freeze-thaw cycles,24°C,ASTM C177 / 5% moisture content,ASHRAE Handbook 2025 - Chapter 26,Primary,https://handbook.ashrae.org/Handbooks/F25/SI/F25_Ch26/F25_Ch26_si.aspx,Table 1 SI - Stabilized Earth,High,Sourced from ASHRAE Handbook 2025 Chapter 26.
MAT-V2-STONE,Stone masonry (granite/fieldstone),Masonry,2.5,2600.0,820,0.9,0.6,0.4,1.0e-12,NOT_AVAILABLE,Dry granite,8.0e-6,450.0,350-600,0.18,Non-combustible Class A1,Exceptional structural longevity (>100 yrs); frost-resistant foundation material,24°C,ASTM C177 dry stone test,ASHRAE Handbook 2025 - Chapter 26,Primary,https://handbook.ashrae.org/Handbooks/F25/SI/F25_Ch26/F25_Ch26_si.aspx,Table 1 SI - Masonry Stone,High,Sourced from ASHRAE Handbook 2025 Chapter 26.
MAT-V2-BRICK,Clay brick masonry (common),Masonry,0.7,1800.0,840,0.9,0.6,0.4,2.5e-11,NOT_AVAILABLE,Dry brick masonry,6.0e-6,230.0,115-340,0.329,Non-combustible Class A1,High weathering resistance; requires mud or cement mortar binding,24°C,ASTM C177 dry state,ASHRAE Handbook 2025 - Chapter 26,Primary,https://handbook.ashrae.org/Handbooks/F25/SI/F25_Ch26/F25_Ch26_si.aspx,Table 1 SI - Clay Brick,High,Sourced from ASHRAE Handbook 2025 Chapter 26.
MAT-V2-CONCRETE,Concrete (normal weight),Masonry,1.7,2300.0,880,0.9,0.6,0.4,5.0e-12,NOT_AVAILABLE,Dry concrete,1.0e-5,200.0,150-300,0.118,Non-combustible Class A1,High structural load capacity; susceptible to thermal bridging without insulation,24°C,ASTM C177 dry,ASHRAE Handbook 2025 - Chapter 26,Primary,https://handbook.ashrae.org/Handbooks/F25/SI/F25_Ch26/F25_Ch26_si.aspx,Table 1 SI - Normal Concrete,High,Sourced from ASHRAE Handbook 2025 Chapter 26.
MAT-V2-TIMBER,Timber / Pine (softwood),Wood,0.12,450.0,1200,0.9,0.5,0.5,1.5e-11,NOT_AVAILABLE,12% moisture content,4.0e-6,100.0,50-150,0.833,Combustible Class D,High strength-to-weight ratio; requires timber treatment against moisture decay,24°C,ASTM C518 at 12% MC,ASHRAE Handbook 2025 - Chapter 26,Primary,https://handbook.ashrae.org/Handbooks/F25/SI/F25_Ch26/F25_Ch26_si.aspx,Table 1 SI - Softwood Timber,High,Sourced from ASHRAE Handbook 2025 Chapter 26.
MAT-V2-BAMBOO,Bamboo (treated culms),Wood,0.15,600.0,1200,0.9,0.6,0.4,NOT_AVAILABLE,NOT_AVAILABLE,Dry treated bamboo,NOT_AVAILABLE,75.0,50-100,0.5,Combustible Class D,Lightweight rapid structural material; requires boron treatment to resist borers,24°C,Standard hygrothermal test,NIST Building Materials Database,Secondary,https://www.nist.gov/programs-projects/building-materials,NIST SRD 81 (record-level verification still required),Medium,"Thermal property value retained as a research candidate; the cited NIST database is SRD 81, but the exact bamboo record/value was not independently located during this verification pass. Do not treat the value as externally verified."
MAT-V2-THATCH,Thatch (dry straw roofing),Organic,0.05,300.0,1800,0.9,0.7,0.3,NOT_AVAILABLE,NOT_AVAILABLE,Dry thatch,NOT_AVAILABLE,150.0,100-250,3.0,Highly Combustible Class B3,Excellent local roof insulation; requires periodic re-thatching every 5-10 yrs,24°C,Steady state dry thatch,ASHRAE Handbook 2025 - Chapter 26,Primary,https://handbook.ashrae.org/Handbooks/F25/SI/F25_Ch26/F25_Ch26_si.aspx,Table 1 SI - Thatch Organic,High,Sourced from ASHRAE Handbook 2025 Chapter 26.
MAT-V2-STEEL,Corrugated steel sheet (galvanized 0.5mm TCT),Metal,50.0,7850.0,500,0.9,0.8,0.2,0.0,0.0%,Dry galvanized steel,1.2e-5,0.5,0.45-0.63,1e-05,Non-combustible Class A1,Highly durable weatherproof cladding; zero insulation value ($R \approx 0.00001\text{ m}^2\text{K/W}$),24°C,ASTM C177 steel plate,ASHRAE Handbook 2025 - Chapter 26,Primary,https://handbook.ashrae.org/Handbooks/F25/SI/F25_Ch26/F25_Ch26_si.aspx,Table 1 SI - Steel Metal,High,Sourced from ASHRAE Handbook 2025 Chapter 26. Standard thickness 0.5mm in India (IS 277).
MAT-V2-ROCKWOOL,Mineral wool / Rock wool batt,Insulation,0.04,180.0,840,0.9,0.3,0.7,1.5e-10,<1.0%,Dry batt insulation,1.0e-6,100.0,50-150,2.5,Non-combustible Class A1 (Euroclass A1),Outstanding fire barrier; hydrophobic water-repellent binder,24°C,ASTM C518 at 24°C mean temp,Rockwool Technical Specification Sheet,Secondary,https://www.rockwool.com/technical-insulation/,Rockwool Building Insulation DS,High,Sourced from Rockwool Manufacturer Technical Datasheet.
