requirement_id,requirement,category,source_document,source_url,page_or_section,applicability,notes
REQ-LADAKH-001,Passive Solar Orientation: Long axis of residential and public buildings should be oriented East-West to maximize South-facing solar exposure and radiation absorption.,orientation,Ladakh Standardized Development and Building Regulations 2023 / SP 73:2023,https://www.bis.gov.in/wp-content/uploads/2024/02/20240115-Ladakh-Final-Standardized-Development-and-Building-Regulations.pdf,Section 4.1,Mandatory,Crucial high-altitude passive solar design principle for winter heating in Leh.
REQ-LADAKH-002,Double Glazing Mandate: All hotels guest houses commercial and government residential buildings must install double-glazed window units with uPVC or wooden thermal break frames.,openings,Ladakh Draft Unified Building Bye-Laws / Regulations 2023,https://www.bis.gov.in/wp-content/uploads/2024/02/20240115-Ladakh-Final-Standardized-Development-and-Building-Regulations.pdf,Section 5.2,Mandatory,Reduces fenestration heat loss by up to 50% compared to single glazing.
REQ-LADAKH-003,Local Eco-Friendly Building Materials: Minimum 50% of building walling materials should incorporate local eco-friendly options such as Compressed Stabilized Earth Blocks (CSEB) rammed earth adobe or local stone.,materials,Ladakh Standardized Development and Building Regulations 2023,https://www.bis.gov.in/wp-content/uploads/2024/02/20240115-Ladakh-Final-Standardized-Development-and-Building-Regulations.pdf,Section 6.1,Highly Recommended,Leverages regional thermal mass while preserving traditional Trans-Himalayan heritage.
REQ-LADAKH-004,South Wall Glazing & Rabsal: South elevation should feature enhanced glazing ratio or passive solar rabsal (sun-room) / Trombe wall heat collector to capture daytime solar gain.,solar,Ladakh Standardized Development and Building Regulations 2023,https://www.bis.gov.in/wp-content/uploads/2024/02/20240115-Ladakh-Final-Standardized-Development-and-Building-Regulations.pdf,Section 4.3,Recommended,Trombe wall masonry thickness recommended at 200-350mm with dark absorptive coating.
REQ-LADAKH-005,North Wall Infiltration Protection: North-facing exterior wall openings must be minimized or protected with secondary non-conditioned utility buffer zones (storage corridors stairwells).,wall,Ladakh Building Regulations 2023 / NBC 2016,https://www.bis.gov.in/wp-content/uploads/2024/02/20240115-Ladakh-Final-Standardized-Development-and-Building-Regulations.pdf,Section 4.4,Mandatory,Protects building envelope from prevailing cold winter northern wind infiltration.
REQ-LADAKH-006,Roof Thermal Insulation Mandate: Roof assemblies must incorporate continuous thermal insulation (minimum R >= 2.5 m²K/W) using local thatch/straw layering or mineral wool/EPS/XPS rigid insulation.,roof,Ladakh Standardized Development and Building Regulations 2023,https://www.bis.gov.in/wp-content/uploads/2024/02/20240115-Ladakh-Final-Standardized-Development-and-Building-Regulations.pdf,Section 5.5,Mandatory,Roof accounts for up to 35% of total building winter heat loss if uninsulated.
REQ-LADAKH-007,Ground & Perimeter Slab Insulation: Ground floor slabs must incorporate perimeter edge insulation (e.g. 50mm XPS) or sub-slab insulation to break frost conduction ground pathways.,floor,Ladakh Building Regulations 2023 / NBC 2016,https://www.bis.gov.in/wp-content/uploads/2024/02/20240115-Ladakh-Final-Standardized-Development-and-Building-Regulations.pdf,Section 5.6,Recommended,Prevents severe sub-zero ground frost conduction into living space floor slab.
REQ-LADAKH-008,Air Infiltration Weather-Sealing: Envelope joints window perimeters and door frames must be weather-stripped to maintain controlled air change rate (ACH <= 0.5 h-1).,ventilation,National Building Code of India 2016 Part 8 / Ladakh Regs,https://www.bis.gov.in/standards/national-building-code/?lang=en,Part 8 Section 1,Mandatory,Restricts winter cold air infiltration drafts in high-wind high-altitude zones.
REQ-LADAKH-009,Seismic & Snow Load Construction: Structural timber lacing or reinforced concrete ring beams must be integrated into masonry walls to resist Trans-Himalayan seismic activity (Zone IV/V) and heavy snow loads.,safety,Ladakh Standardized Development and Building Regulations 2023,https://www.bis.gov.in/wp-content/uploads/2024/02/20240115-Ladakh-Final-Standardized-Development-and-Building-Regulations.pdf,Section 7.1,Mandatory,Ensures structural safety under severe earthquake and snow load events.
REQ-LADAKH-010,Geothermal & Active Solar FAR Incentives: Additional Floor Area Ratio (FAR) incentives are provided for buildings incorporating verified geothermal heat pumps or active solar water/air heating systems.,climate_response,Ladakh Draft Unified Building Bye-Laws 2023/2024,https://www.bis.gov.in/wp-content/uploads/2024/02/20240115-Ladakh-Final-Standardized-Development-and-Building-Regulations.pdf,Section 8.2,Incentive,Encourages adoption of clean renewable heating technologies in Ladakh.
