alias_id,canonical_material_id,legacy_system,notes
1,MAT-ADOBE,V1_NUMERIC,Legacy V1 numeric ID 1
2,MAT-RAMMED,V1_NUMERIC,Legacy V1 numeric ID 2
3,MAT-STONE,V1_NUMERIC,Legacy V1 numeric ID 3
4,MAT-BRICK,V1_NUMERIC,Legacy V1 numeric ID 4
5,MAT-CONCRETE,V1_NUMERIC,Legacy V1 numeric ID 5
6,MAT-TIMBER,V1_NUMERIC,Legacy V1 numeric ID 6
7,MAT-BAMBOO,V1_NUMERIC,Legacy V1 numeric ID 7
8,MAT-THATCH,V1_NUMERIC,Legacy V1 numeric ID 8
9,MAT-STEEL,V1_NUMERIC,Legacy V1 numeric ID 9
10,MAT-ROCKWOOL,V1_NUMERIC,Legacy V1 numeric ID 10
11,MAT-EPS,V1_NUMERIC,Legacy V1 numeric ID 11
12,MAT-XPS,V1_NUMERIC,Legacy V1 numeric ID 12
MAT-METAL,MAT-STEEL,V1_STRING,Renamed MAT-METAL to MAT-STEEL for IS 277 compliance
MAT-V2-ADOBE,MAT-ADOBE,V2_RESEARCH,V2 namespace mapped to canonical
MAT-V2-RAMMED,MAT-RAMMED,V2_RESEARCH,V2 namespace mapped to canonical
MAT-V2-STONE,MAT-STONE,V2_RESEARCH,V2 namespace mapped to canonical
MAT-V2-BRICK,MAT-BRICK,V2_RESEARCH,V2 namespace mapped to canonical
MAT-V2-CONCRETE,MAT-CONCRETE,V2_RESEARCH,V2 namespace mapped to canonical
MAT-V2-TIMBER,MAT-TIMBER,V2_RESEARCH,V2 namespace mapped to canonical
MAT-V2-BAMBOO,MAT-BAMBOO,V2_RESEARCH,V2 namespace mapped to canonical
MAT-V2-THATCH,MAT-THATCH,V2_RESEARCH,V2 namespace mapped to canonical
MAT-V2-STEEL,MAT-STEEL,V2_RESEARCH,V2 namespace mapped to canonical
MAT-V2-ROCKWOOL,MAT-ROCKWOOL,V2_RESEARCH,V2 namespace mapped to canonical
MAT-V2-EPS,MAT-EPS,V2_RESEARCH,V2 namespace mapped to canonical
MAT-V2-XPS,MAT-XPS,V2_RESEARCH,V2 namespace mapped to canonical
MAT-V2-AIR-CAVITY,MAT-AIR-CAVITY,V2_RESEARCH,V2 namespace mapped to canonical
MAT-V2-TIMBER-FRAME,MAT-TIMBER-FRAME,V2_RESEARCH,V2 namespace mapped to canonical
MAT-V2-GYPSUM,MAT-GYPSUM,V2_RESEARCH,V2 namespace mapped to canonical
MAT-V2-CSEB,MAT-CSEB,V2_RESEARCH,V2 namespace mapped to canonical
