material_id,property_name,property_value,unit,source_id,source_type,source_url,source_condition,confidence,calculation_method
MAT-V2-ADOBE,thermal_conductivity_W_mK,0.70,W/(m·K),SRC-ASHRAE-2025-CH26,Primary,https://handbook.ashrae.org/Handbooks/F25/SI/F25_Ch26/F25_Ch26_si.aspx,5% moisture content at 24°C,High,DIRECTLY SOURCED
MAT-V2-ADOBE,density_kg_m3,1800,kg/m³,SRC-ASHRAE-2025-CH26,Primary,https://handbook.ashrae.org/Handbooks/F25/SI/F25_Ch26/F25_Ch26_si.aspx,Dry density,High,DIRECTLY SOURCED
MAT-V2-ADOBE,specific_heat_J_kgK,920,J/(kg·K),SRC-ASHRAE-2025-CH26,Primary,https://handbook.ashrae.org/Handbooks/F25/SI/F25_Ch26/F25_Ch26_si.aspx,24°C mean temp,High,DIRECTLY SOURCED
MAT-V2-ADOBE,thermal_resistance_m2K_W,0.429,m²·K/W,SRC-ISO-6946-2017,Primary,https://www.iso.org/standard/65708.html,300mm thickness,High,CALCULATED (R = thickness / conductivity = 0.30 / 0.70)
MAT-V2-RAMMED,thermal_conductivity_W_mK,1.50,W/(m·K),SRC-ASHRAE-2025-CH26,Primary,https://handbook.ashrae.org/Handbooks/F25/SI/F25_Ch26/F25_Ch26_si.aspx,5% cement stabilized at 5% moisture,High,DIRECTLY SOURCED
MAT-V2-RAMMED,density_kg_m3,2000,kg/m³,SRC-ASHRAE-2025-CH26,Primary,https://handbook.ashrae.org/Handbooks/F25/SI/F25_Ch26/F25_Ch26_si.aspx,Compacted density,High,DIRECTLY SOURCED
MAT-V2-RAMMED,thermal_resistance_m2K_W,0.200,m²·K/W,SRC-ISO-6946-2017,Primary,https://www.iso.org/standard/65708.html,300mm thickness,High,CALCULATED (R = thickness / conductivity = 0.30 / 1.50)
MAT-V2-STONE,thermal_conductivity_W_mK,2.50,W/(m·K),SRC-ASHRAE-2025-CH26,Primary,https://handbook.ashrae.org/Handbooks/F25/SI/F25_Ch26/F25_Ch26_si.aspx,Dry granite,High,DIRECTLY SOURCED
MAT-V2-STONE,density_kg_m3,2600,kg/m³,SRC-ASHRAE-2025-CH26,Primary,https://handbook.ashrae.org/Handbooks/F25/SI/F25_Ch26/F25_Ch26_si.aspx,Dry stone density,High,DIRECTLY SOURCED
MAT-V2-STONE,thermal_resistance_m2K_W,0.180,m²·K/W,SRC-ISO-6946-2017,Primary,https://www.iso.org/standard/65708.html,450mm thickness,High,CALCULATED (R = thickness / conductivity = 0.45 / 2.50)
MAT-V2-BRICK,thermal_conductivity_W_mK,0.70,W/(m·K),SRC-ASHRAE-2025-CH26,Primary,https://handbook.ashrae.org/Handbooks/F25/SI/F25_Ch26/F25_Ch26_si.aspx,Dry clay brick,High,DIRECTLY SOURCED
MAT-V2-BRICK,density_kg_m3,1800,kg/m³,SRC-ASHRAE-2025-CH26,Primary,https://handbook.ashrae.org/Handbooks/F25/SI/F25_Ch26/F25_Ch26_si.aspx,Common brick density,High,DIRECTLY SOURCED
MAT-V2-BRICK,thermal_resistance_m2K_W,0.329,m²·K/W,SRC-ISO-6946-2017,Primary,https://www.iso.org/standard/65708.html,230mm thickness,High,CALCULATED (R = thickness / conductivity = 0.23 / 0.70)
MAT-V2-CONCRETE,thermal_conductivity_W_mK,1.70,W/(m·K),SRC-ASHRAE-2025-CH26,Primary,https://handbook.ashrae.org/Handbooks/F25/SI/F25_Ch26/F25_Ch26_si.aspx,Normal weight concrete,High,DIRECTLY SOURCED
