layer_id,assembly_id,layer_order,layer_name,material_id,thickness_mm,thermal_conductivity_W_mK,layer_r_value_m2K_W,calculation_method,source_id
LAY-WTRAD-1,ASM-WALL-LADAKH-TRAD,1,Exterior Surface Film Resistance,MAT-AIR-CAVITY,0.0,0.0,0.04,DIRECTLY_SOURCED_ISO6946,SRC-ISO-6946-2017
LAY-WTRAD-2,ASM-WALL-LADAKH-TRAD,2,Granite Stone Masonry Cladding,MAT-STONE,200.0,2.5,0.08,CALCULATED_D_OVER_K,SRC-ASHRAE-2025-CH26
LAY-WTRAD-3,ASM-WALL-LADAKH-TRAD,3,Adobe Brick Structural Mass,MAT-ADOBE,250.0,0.7,0.3571,CALCULATED_D_OVER_K,SRC-ASHRAE-2025-CH26
LAY-WTRAD-4,ASM-WALL-LADAKH-TRAD,4,Interior Mud Plaster Render,MAT-ADOBE,15.0,0.7,0.0214,CALCULATED_D_OVER_K,SRC-ASHRAE-2025-CH26
LAY-WTRAD-5,ASM-WALL-LADAKH-TRAD,5,Interior Surface Film Resistance,MAT-AIR-CAVITY,0.0,0.0,0.13,DIRECTLY_SOURCED_ISO6946,SRC-ISO-6946-2017
LAY-WIMP-1,ASM-WALL-LADAKH-IMP-TRAD,1,Exterior Surface Film Resistance,MAT-AIR-CAVITY,0.0,0.0,0.04,DIRECTLY_SOURCED_ISO6946,SRC-ISO-6946-2017
LAY-WIMP-2,ASM-WALL-LADAKH-IMP-TRAD,2,Protective Exterior Mud Render,MAT-ADOBE,20.0,0.7,0.0286,CALCULATED_D_OVER_K,SRC-ASHRAE-2025-CH26
LAY-WIMP-3,ASM-WALL-LADAKH-IMP-TRAD,3,Rockwool Exterior Insulation Batt,MAT-ROCKWOOL,80.0,0.04,2.0,CALCULATED_D_OVER_K,SRC-ROCKWOOL-DS
LAY-WIMP-4,ASM-WALL-LADAKH-IMP-TRAD,4,Rammed Earth Structural Core,MAT-RAMMED,300.0,1.5,0.2,CALCULATED_D_OVER_K,SRC-ASHRAE-2025-CH26
LAY-WIMP-5,ASM-WALL-LADAKH-IMP-TRAD,5,Interior Surface Film Resistance,MAT-AIR-CAVITY,0.0,0.0,0.13,DIRECTLY_SOURCED_ISO6946,SRC-ISO-6946-2017
LAY-WMOD-1,ASM-WALL-LADAKH-INS-MOD,1,Exterior Surface Film Resistance,MAT-AIR-CAVITY,0.0,0.0,0.04,DIRECTLY_SOURCED_ISO6946,SRC-ISO-6946-2017
LAY-WMOD-2,ASM-WALL-LADAKH-INS-MOD,2,Compressed Stabilized Earth Block (CSEB),MAT-CSEB,230.0,0.95,0.2421,CALCULATED_D_OVER_K,SRC-LADAKH-REGS-2023
LAY-WMOD-3,ASM-WALL-LADAKH-INS-MOD,3,Rockwool Insulation Layer,MAT-ROCKWOOL,100.0,0.04,2.5,CALCULATED_D_OVER_K,SRC-ROCKWOOL-DS
LAY-WMOD-4,ASM-WALL-LADAKH-INS-MOD,4,Unventilated Air Cavity,MAT-AIR-CAVITY,50.0,0.238,0.21,DIRECTLY_SOURCED_ISO6946,SRC-ISO-6946-2017
LAY-WMOD-5,ASM-WALL-LADAKH-INS-MOD,5,Gypsum Plasterboard Lining,MAT-GYPSUM,12.5,0.21,0.0595,CALCULATED_D_OVER_K,SRC-ASHRAE-2025-CH26
LAY-WMOD-6,ASM-WALL-LADAKH-INS-MOD,6,Interior Surface Film Resistance,MAT-AIR-CAVITY,0.0,0.0,0.13,DIRECTLY_SOURCED_ISO6946,SRC-ISO-6946-2017
LAY-WLIGHT-1,ASM-WALL-LADAKH-LIGHT-INS,1,Exterior Surface Film Resistance,MAT-AIR-CAVITY,0.0,0.0,0.04,DIRECTLY_SOURCED_ISO6946,SRC-ISO-6946-2017
LAY-WLIGHT-2,ASM-WALL-LADAKH-LIGHT-INS,2,Corrugated Galvanized Steel Sheet Cladding,MAT-STEEL,0.5,50.0,1e-05,CALCULATED_D_OVER_K,SRC-IS-277-2018
LAY-WLIGHT-3,ASM-WALL-LADAKH-LIGHT-INS,3,Unventilated Air Cavity,MAT-AIR-CAVITY,50.0,0.238,0.21,DIRECTLY_SOURCED_ISO6946,SRC-ISO-6946-2017
LAY-WLIGHT-4,ASM-WALL-LADAKH-LIGHT-INS,4,XPS Rigid Board Insulation,MAT-XPS,100.0,0.033,3.0303,CALCULATED_D_OVER_K,SRC-DOW-XPS-DS
LAY-WLIGHT-5,ASM-WALL-LADAKH-LIGHT-INS,5,Timber Stud Framing Core,MAT-TIMBER-FRAME,50.0,0.12,0.4167,CALCULATED_D_OVER_K,SRC-ASHRAE-2025-CH26
LAY-WLIGHT-6,ASM-WALL-LADAKH-LIGHT-INS,6,Gypsum Interior Board,MAT-GYPSUM,12.5,0.21,0.0595,CALCULATED_D_OVER_K,SRC-ASHRAE-2025-CH26
LAY-WLIGHT-7,ASM-WALL-LADAKH-LIGHT-INS,7,Interior Surface Film Resistance,MAT-AIR-CAVITY,0.0,0.0,0.13,DIRECTLY_SOURCED_ISO6946,SRC-ISO-6946-2017
LAY-WSHIM-1,ASM-WALL-SHIMLA-COLD,1,Exterior Surface Film Resistance,MAT-AIR-CAVITY,0.0,0.0,0.04,DIRECTLY_SOURCED_ISO6946,SRC-ISO-6946-2017
LAY-WSHIM-2,ASM-WALL-SHIMLA-COLD,2,Granite Stone Masonry Cladding,MAT-STONE,250.0,2.5,0.1,CALCULATED_D_OVER_K,SRC-ASHRAE-2025-CH26
LAY-WSHIM-3,ASM-WALL-SHIMLA-COLD,3,Ventilated Drainage Air Cavity,MAT-AIR-CAVITY,50.0,0.238,0.21,DIRECTLY_SOURCED_ISO6946,SRC-ISO-6946-2017
LAY-WSHIM-4,ASM-WALL-SHIMLA-COLD,4,Hydrophobic Rockwool Insulation Batt,MAT-ROCKWOOL,120.0,0.04,3.0,CALCULATED_D_OVER_K,SRC-ROCKWOOL-DS
LAY-WSHIM-5,ASM-WALL-SHIMLA-COLD,5,Gypsum Interior Board,MAT-GYPSUM,12.5,0.21,0.0595,CALCULATED_D_OVER_K,SRC-ASHRAE-2025-CH26
LAY-WSHIM-6,ASM-WALL-SHIMLA-COLD,6,Interior Surface Film Resistance,MAT-AIR-CAVITY,0.0,0.0,0.13,DIRECTLY_SOURCED_ISO6946,SRC-ISO-6946-2017
LAY-WWARM-1,ASM-WALL-WARM-COMP,1,Exterior Surface Film Resistance,MAT-AIR-CAVITY,0.0,0.0,0.04,DIRECTLY_SOURCED_ISO6946,SRC-ISO-6946-2017
