provenance_id,entity_type,entity_id,field_name,source_id,evidence_status,confidence,notes
PROV-001,material_property,MAT-ADOBE,thermal_conductivity_W_mK,SRC-ASHRAE-2025-CH26,VALUE_VERIFIED,High,Nominal adobe at 5% moisture content (0.70 W/mK).
PROV-002,material_property,MAT-RAMMED,thermal_conductivity_W_mK,SRC-ASHRAE-2025-CH26,VALUE_VERIFIED,High,Stabilized rammed earth with 5% cement binder (1.50 W/mK).
PROV-003,material_property,MAT-STONE,thermal_conductivity_W_mK,SRC-ASHRAE-2025-CH26,VALUE_VERIFIED,High,Granite dry density stone masonry (2.50 W/mK).
PROV-004,material_property,MAT-BRICK,thermal_conductivity_W_mK,SRC-ASHRAE-2025-CH26,VALUE_VERIFIED,High,Common clay brick masonry (0.70 W/mK).
PROV-005,material_property,MAT-CONCRETE,thermal_conductivity_W_mK,SRC-ASHRAE-2025-CH26,VALUE_VERIFIED,High,Normal weight cured concrete (1.70 W/mK).
PROV-006,material_property,MAT-TIMBER,thermal_conductivity_W_mK,SRC-ASHRAE-2025-CH26,VALUE_VERIFIED,High,Softwood pine at 12% moisture content (0.12 W/mK).
PROV-007,material_property,MAT-BAMBOO,thermal_conductivity_W_mK,SRC-NIST-PUB,VALUE_NOT_VERIFIED,Medium,Retained as candidate property (0.15 W/mK). Pending independent NIST SRD 81 exact record pass.
PROV-008,material_property,MAT-THATCH,thermal_conductivity_W_mK,SRC-ASHRAE-2025-CH26,VALUE_VERIFIED,High,Dry compacted straw thatch (0.05 W/mK).
PROV-009,material_property,MAT-STEEL,thermal_conductivity_W_mK,SRC-ASHRAE-2025-CH26,VALUE_VERIFIED,High,"Galvanized carbon steel cladding (50.0 W/mK, 0.5mm TCT per IS 277)."
PROV-010,material_property,MAT-ROCKWOOL,thermal_conductivity_W_mK,SRC-ROCKWOOL-DS,VALUE_VERIFIED,High,Mineral rock wool batt at 24C mean temp (0.040 W/mK).
PROV-011,material_property,MAT-EPS,thermal_conductivity_W_mK,SRC-EPS-ALLIANCE-DS,VALUE_VERIFIED,High,Expanded polystyrene Type I board (0.035 W/mK).
PROV-012,material_property,MAT-XPS,thermal_conductivity_W_mK,SRC-DOW-XPS-DS,VALUE_VERIFIED,High,Extruded polystyrene closed-cell rigid foam (0.033 W/mK).
PROV-013,material_property,MAT-AIR-CAVITY,thermal_resistance_m2K_W,SRC-ISO-6946-2017,VALUE_VERIFIED,High,50mm vertical unventilated air cavity R=0.210 m2K/W per ISO 6946 Table 3.
PROV-014,material_property,MAT-CSEB,thermal_conductivity_W_mK,SRC-LADAKH-REGS-2023,VALUE_VERIFIED,High,"Compressed Stabilized Earth Block 5% cement (0.95 W/mK, density 1850 kg/m3)."
PROV-015,material_property,MAT-GYPSUM,thermal_conductivity_W_mK,SRC-ASHRAE-2025-CH26,VALUE_VERIFIED,High,Gypsum plasterboard lining 12.5mm (0.21 W/mK).
PROV-016,weather_dataset,WEA-IN-LEH-2026,time_series,SRC-OPEN-METEO-ARCHIVE,VALUE_VERIFIED,High,"Complete 5712 hourly observations Jan 1 - Aug 26, 2026 for Leh (34.1526N, 77.5771E)."
